Current Titles & Descriptions:

Seed13_01: "3-D blank figure" - "Ask about 3d model files"
Seed13_02: "Skeleton" - "Can be hit-or-miss"
Seed13_04: "The Sword Throne" - "Pick a throne theme!"
Seed13_05: "Gold Throne" - "Pick a throne theme!"
Seed13_06: "Fantasy Hero" - "Choose your weapon and scene"
Seed13_09: "TCG Card" - "Poke me with your Magic card requests!"
Seed13_11: "Wizard Faculty Portrait" - "Choose your character design"
Seed13_55: "Professional Photo" - "Sick of business casual?"
Seed13_56: "Magical Girl" - "Cute, evil, you chooae!"
Seed13_57: "Animated Character" - "Have a little fun!"
Seed13_58: "Collector's Statue" - "Just like gramma's!"
Seed13_59: "Detailed Action Figure" - "3-4 props"
Seed13_61: "Wanted Poster" - "Choose your text and  reward"
Seed13_62: "Action Figurel" - "Weapon specialist styling"
Seed13_63: "Comic Book Coverr" - "First issue"
Seed13_64: "Comic Book Cover" - "Special Collector's edition"
Seed13_AF_03: "Action Figure - Series A" - "Collectible toy design"
Seed13_AF_07: "Action Figure - Series B" - "Limited edition styling"
Seed13_AF_08: "Action Figure - Series C" - "Greenscreen or pick a scene"
Seed13_Greenscreen_01: "Studio Shot Alpha" - "Greenscreen or pick a scene"
Seed13_Greenscreen_02: "Studio Shot Beta" - "Greenscreen or pick a scene"
Seed13_Greenscreen_03: "Studio Shot Gamma" - "Greenscreen or pick a scene"
Seed13_Greenscreen_05: "Studio Shot Delta" - "Greenscreen or pick a scene"
Seed13_Greenscreen_06: "Studio Shot Epsilon" - "Greenscreen or pick a scene"
